,year,state,sum_occur,sum_arr,murder_o,murder_a,robbery_o,robbery_a,harassment_o,harassment_a,theft_o,theft_a,violent_o,violent_a,new_cctv_p,total_area,residential_area,commercial_area,industrial_area,green_area,residential_area_r_p,commercial_area_r_p,industrial_area_r_p,green_area_r_p,occur_r_p,population,population_r_p
0,2015,종로구,4705,4430,6,8,11,13,211,1139,2184,1145,2293,2125,195,23972507,9830557,2937285,0,11204665,41.00763012,12.25272351,0,46.73964638,0.4705,163822,1.590946921
1,2015,중구,4954,2942,3,2,9,6,170,111,2548,859,2224,1964,245,9974292,6037439,3911718,0,25135,60.53000053,39.21800164,0,0.251997836,0.4954,134329,1.30452753
2,2015,용산구,3820,2483,5,5,14,14,194,173,1557,587,2050,1704,102,21898766,12130669,1237935,0,8530162,55.39430395,5.652989762,0,38.95270628,0.382,247909,2.407552467
3,2015,성동구,3358,2123,4,4,9,8,126,119,1607,597,1612,1395,258,16804426,9947641,473145,2051234,4332406,59.19655334,2.81559751,12.20651036,25.7813388,0.3358,305065,2.962619322
4,2015,광진구,5909,3707,4,4,14,26,240,220,3026,1277,2625,2180,64,17075115,11607090,193152,0,5274873,67.9766432,1.131190039,0,30.89216676,0.5909,375180,3.64353668
5,2015,동대문구,4720,3205,5,5,13,13,173,146,1981,814,2548,2227,111,14245433,13034193,828159,0,383081,91.49734515,5.813505283,0,2.689149568,0.472,373824,3.630367972
6,2015,중랑구,5193,3405,13,12,11,9,187,148,2135,829,2847,2407,102,18531520,10821891,357442,0,7352187,58.39721189,1.928832605,0,39.67395551,0.5193,418620,4.065401474
7,2015,성북구,4154,2729,5,5,5,4,150,124,1785,741,2209,1855,279,24621422,17791331,397229,0,6432862,72.25955918,1.613347109,0,26.12709372,0.4154,469560,4.56010204
8,2015,강북구,4257,3113,7,8,14,13,153,126,1434,618,2649,2348,145,23636019,10985275,270342,0,12380402,46.47684113,1.143771292,0,52.37938758,0.4257,334426,3.247756804
9,2015,도봉구,2664,1900,3,3,9,10,102,106,1063,478,1487,1303,59,20679052,8084190,264122,1489295,10841445,39.09361996,1.277244237,7.20195007,52.42718573,0.2664,353241,3.430477478
10,2015,노원구,5130,3268,10,10,7,7,197,121,2193,801,2723,2329,461,35595942,13978782,589023,0,21028137,39.27071799,1.654747611,0,59.07453439,0.513,578221,5.615356422
11,2015,은평구,4745,3167,3,3,9,6,166,141,1914,711,2653,2306,180,29788522,15354372,523842,0,13910308,51.54459157,1.758536392,0,46.69687204,0.4745,502578,4.880754245
12,2015,서대문구,4029,2579,2,2,5,4,154,124,1812,738,2056,1711,109,17685973,15439372,283546,0,1963055,87.29727225,1.603225336,0,11.09950241,0.4029,323105,3.137813633
13,2015,마포구,5854,3597,8,8,14,10,294,247,2555,813,2983,2519,177,23890251,13399356,932448,0,9558447,56.08712943,3.903048151,0,40.00982242,0.5854,398351,3.868560371
14,2015,양천구,4528,2815,3,5,6,3,120,105,1890,672,2509,2030,172,17469613,12536636,796830,92872,4043275,71.76252845,4.561234413,0.531620248,23.14461688,0.4528,489010,4.748989476
15,2015,강서구,5585,4190,7,8,13,13,262,191,2096,1260,3207,2718,187,41462497,14719962,1321659,2919995,22500881,35.50187052,3.187601075,7.042496741,54.26803166,0.5585,595691,5.785015215
16,2015,구로구,5646,3502,8,6,15,11,281,164,2335,889,3007,2432,268,20136328,10187818,513589,4277059,5157862,50.59421956,2.550559367,21.24051118,25.61470989,0.5646,454604,4.414857798
17,2015,금천구,3781,2796,3,4,6,6,151,122,1567,888,2054,1776,382,13012685,5845488,149622,4121945,2895630,44.92145933,1.149816506,31.67636041,22.25236375,0.3781,256167,2.487749509
18,2015,영등포구,6867,4154,14,12,22,20,295,183,2964,978,3572,2961,366,24354829,7975826,2645273,5024926,8708804,32.74843769,10.86139016,20.63215472,35.75801743,0.6867,417811,4.057544922
19,2015,동작구,4074,2397,5,5,9,5,285,139,1865,661,1910,1587,130,16387882,13790984,344623,0,2252275,84.15354711,2.102913604,0,13.74353928,0.4074,412774,4.008628417
20,2015,관악구,6345,3712,9,8,12,14,320,221,2706,827,3298,2642,609,29563482,15335188,390187,0,13838107,51.87206297,1.319827617,0,46.80810941,0.6345,529031,5.13765087
21,2015,서초구,5444,3450,8,6,9,6,393,249,2635,1091,2399,2098,215,46899887,18877670,1317259,0,26704958,40.2509925,2.808661351,0,56.94034615,0.5444,451258,4.382363332
22,2015,강남구,8617,5732,13,10,21,18,449,349,3850,1650,4284,3705,546,39497268,24001240,1676116,0,13819912,60.76683582,4.243625154,0,34.98953902,0.8617,581760,5.649725195
23,2015,송파구,6778,4113,11,10,13,10,220,178,3239,1129,3295,2786,166,33858375,21019060,2281374,0,10557941,62.0793526,6.737990231,0,31.18265717,0.6778,667480,6.482189517
24,2015,강동구,5244,3171,4,3,6,8,156,123,2366,789,2712,2248,144,24556203,12972507,673622,0,10910074,52.82782114,2.743184685,0,44.42899417,0.5244,463321,4.499512389
25,2016,종로구,4459,4298,6,5,12,14,238,1106,1940,1020,2263,2153,148,23972507,9830557,2937285,0,11204665,41.00763012,12.25272351,0,46.73964638,0.4459,161922,1.586839431
26,2016,중구,4584,3068,3,3,8,7,198,148,2150,914,2225,1996,270,9974292,6037439,3911718,0,25135,60.53000053,39.21800164,0,0.251997836,0.4584,134409,1.31721138
27,2016,용산구,4137,2835,4,4,9,10,251,214,1489,599,2384,2008,89,21898766,12130669,1237935,0,8530162,55.39430395,5.652989762,0,38.95270628,0.4137,245102,2.402005398
28,2016,성동구,3026,2392,4,5,3,5,104,78,1296,896,1619,1408,201,16804426,9947641,473145,2051234,4332406,59.19655334,2.81559751,12.20651036,25.7813388,0.3026,307161,3.010185067
29,2016,광진구,5322,3312,4,4,11,6,279,234,2636,1057,2392,2011,21,17075115,11607090,193152,0,5274873,67.9766432,1.131190039,0,30.89216676,0.5322,372104,3.646628003
30,2016,동대문구,4787,3623,5,5,10,12,190,158,1940,1071,2642,2377,233,14245433,13034193,828159,0,383081,91.49734515,5.813505283,0,2.689149568,0.4787,370312,3.629066361
31,2016,중랑구,5041,3935,8,7,14,14,164,150,1691,1052,3164,2712,121,18531520,10821891,357442,0,7352187,58.39721189,1.928832605,0,39.67395551,0.5041,415677,4.073644434
32,2016,성북구,3744,2672,4,3,8,8,154,117,1470,725,2108,1819,388,24621422,17791331,397229,0,6432862,72.25955918,1.613347109,0,26.12709372,0.3744,461617,4.523857521
33,2016,강북구,4229,3323,7,6,5,4,217,159,1222,672,2778,2482,254,23636019,10985275,270342,0,12380402,46.47684113,1.143771292,0,52.37938758,0.4229,330704,3.240907024
34,2016,도봉구,2438,1930,3,3,5,5,123,121,866,492,1441,1309,155,20679052,8084190,264122,1489295,10841445,39.09361996,1.277244237,7.20195007,52.42718573,0.2438,350272,3.432673886
35,2016,노원구,4543,3021,5,6,6,9,159,142,1857,740,2516,2124,298,35595942,13980338,589023,0,21026581,39.27508928,1.654747611,0,59.07016311,0.4543,571212,5.597891113
36,2016,은평구,4501,3353,6,6,9,7,156,142,1666,890,2664,2308,296,29788522,15365814,523842,0,13898866,51.58300234,1.758536392,0,46.65846127,0.4501,495937,4.860194333
37,2016,서대문구,3665,2554,6,7,5,4,175,147,1503,752,1976,1644,277,17685973,15439372,283546,0,1963055,87.29727225,1.603225336,0,11.09950241,0.3665,325871,3.193543509
38,2016,마포구,5873,3771,4,4,4,7,399,320,2527,940,2939,2500,359,23890251,13399356,932448,0,9558447,56.08712943,3.903048151,0,40.00982242,0.5873,390887,3.830701847
39,2016,양천구,4112,2793,5,5,7,7,131,108,1719,755,2250,1918,349,17469613,12536636,796830,92872,4043275,71.76252845,4.561234413,0.531620248,23.14461688,0.4112,481845,4.722092399
40,2016,강서구,5450,4097,9,10,10,10,275,239,1952,1070,3204,2768,190,41462497,14719962,1321659,2919995,22500881,35.50187052,3.187601075,7.042496741,54.26803166,0.545,602104,5.900633444
41,2016,구로구,5366,3744,9,9,10,13,273,181,1910,861,3164,2680,326,20136328,10187818,513589,4277059,5157862,50.59421956,2.550559367,21.24051118,25.61470989,0.5366,449600,4.406090636
42,2016,금천구,3645,2756,6,6,7,7,175,143,1264,654,2193,1946,136,13012685,5845488,149622,4121945,2895630,44.92145933,1.149816506,31.67636041,22.25236375,0.3645,254654,2.495615224
43,2016,영등포구,6322,4199,13,13,19,14,356,225,2341,940,3593,3007,289,24354829,8013839,2607260,5024926,8708804,32.90451762,10.70531023,20.63215472,35.75801743,0.6322,406779,3.986443823
44,2016,동작구,3227,2160,8,6,7,7,325,149,1226,554,1661,1444,254,16387882,13790984,344623,0,2252275,84.15354711,2.102913604,0,13.74353928,0.3227,413247,4.049830376
45,2016,관악구,5678,3925,6,7,12,10,322,264,2103,937,3235,2707,619,29563482,15327248,390187,0,13846047,51.84520551,1.319827617,0,46.83496687,0.5678,525607,5.150961034
46,2016,서초구,4989,3422,5,5,13,10,428,271,2205,1107,2338,2029,352,46899887,18890070,1317259,0,26692558,40.2774318,2.808661351,0,56.91390685,0.4989,451477,4.424485281
47,2016,강남구,8149,5905,5,5,39,42,516,413,3587,1918,4002,3527,765,39497268,24190143,1676116,0,13631009,61.24510434,4.243625154,0,34.5112705,0.8149,572140,5.606985535
48,2016,송파구,6090,4060,9,8,15,12,234,184,2543,1048,3289,2808,100,33858375,21019060,2281374,0,10557941,62.0793526,6.737990231,0,31.18265717,0.609,664946,6.516486531
49,2016,강동구,4462,3273,4,5,14,13,160,152,1754,902,2530,2201,194,24556203,12972507,673622,0,10910074,52.82782114,2.743184685,0,44.42899417,0.4462,448471,4.39502641
50,2017,종로구,4057,4437,7,9,10,15,253,1412,1644,905,2143,2096,281,23972507,9830557,2937285,0,11204665,41.00763012,12.25272351,0,46.73964638,0.4057,164257,1.622358816
51,2017,중구,4184,2851,1,-,9,9,267,149,1846,889,2061,1804,317,9974292,6037439,3911718,0,25135,60.53000053,39.21800164,0,0.251997836,0.4184,134593,1.329368856
52,2017,용산구,4060,2936,1,1,5,4,327,289,1346,626,2381,2016,60,21898766,12123596,1245008,0,8530162,55.36200533,5.685288386,0,38.95270628,0.406,244444,2.414362118
53,2017,성동구,2767,2031,1,1,3,3,132,106,1072,543,1559,1378,933,16804426,9947641,473145,2051234,4332406,59.19655334,2.81559751,12.20651036,25.7813388,0.2767,312711,3.08863213
54,2017,광진구,4646,3289,6,5,13,8,261,208,2220,1168,2146,1900,468,17075115,11598584,201658,0,5274873,67.92682802,1.181005223,0,30.89216676,0.4646,372298,3.677170182
55,2017,동대문구,3975,3274,11,10,3,5,165,149,1547,1017,2249,2093,136,14245433,13034193,828159,0,383081,91.49734515,5.813505283,0,2.689149568,0.3975,366011,3.615073772
56,2017,중랑구,4571,3392,5,5,3,4,172,144,1533,813,2858,2426,66,18531520,10821891,357442,0,7352187,58.39721189,1.928832605,0,39.67395551,0.4571,412780,4.077009029
57,2017,성북구,3434,2479,7,7,8,8,173,134,1344,703,1902,1627,285,24621422,17791331,397229,0,6432862,72.25955918,1.613347109,0,26.12709372,0.3434,455407,4.498033943
58,2017,강북구,3393,2824,8,8,7,5,208,153,1014,635,2156,2023,1,23636019,10985275,270342,0,12380402,46.47684113,1.143771292,0,52.37938758,0.3393,328002,3.239660632
59,2017,도봉구,1999,1652,1,1,3,3,104,115,633,417,1258,1116,117,20679052,8089653,258659,1489295,10841445,39.120038,1.250826198,7.20195007,52.42718573,0.1999,346234,3.419737255
60,2017,노원구,4209,3047,4,4,9,7,180,155,1538,757,2478,2124,110,35595942,13980338,589023,0,21026581,39.27508928,1.654747611,0,59.07016311,0.4209,558075,5.512081046
61,2017,은평구,3883,3207,6,6,4,4,230,213,1387,934,2256,2050,229,29788522,15365814,523842,0,13898866,51.58300234,1.758536392,0,46.65846127,0.3883,491202,4.851579508
62,2017,서대문구,3113,2299,4,4,1,2,202,181,1230,719,1676,1393,415,17685973,15439372,283546,0,1963055,87.29727225,1.603225336,0,11.09950241,0.3113,325028,3.210286571
63,2017,마포구,5278,3499,3,3,8,8,500,429,2094,837,2673,2222,372,23890251,13391616,940188,0,9558447,56.05473128,3.935446304,0,40.00982242,0.5278,385783,3.810360905
64,2017,양천구,3882,2660,3,2,3,2,138,122,1590,756,2148,1778,137,17469613,12536636,796830,92872,4043275,71.76252845,4.561234413,0.531620248,23.14461688,0.3882,475018,4.691730886
65,2017,강서구,5135,3927,11,11,4,6,316,253,1888,1113,2916,2544,264,41462497,14719962,1321659,2919995,22500881,35.50187052,3.187601075,7.042496741,54.26803166,0.5135,608255,6.007706592
66,2017,구로구,4895,3408,7,8,8,6,328,181,1725,869,2827,2344,540,20136328,10187818,513589,4277059,5157862,50.59421956,2.550559367,21.24051118,25.61470989,0.4895,441559,4.361257885
67,2017,금천구,3265,2572,5,5,5,5,240,212,1141,674,1874,1676,199,13012685,5845488,149622,4121945,2895630,44.92145933,1.149816506,31.67636041,22.25236375,0.3265,253491,2.50371892
68,2017,영등포구,5969,4012,15,13,5,5,455,267,2304,1108,3190,2619,371,24354829,8013839,2607260,5024926,8708804,32.90451762,10.70531023,20.63215472,35.75801743,0.5969,402024,3.970772513
69,2017,동작구,3330,2242,1,1,7,9,396,173,1226,593,1700,1466,278,16387882,13790984,344623,0,2252275,84.15354711,2.102913604,0,13.74353928,0.333,408493,4.034666528
70,2017,관악구,5525,4154,8,7,7,6,379,323,1979,1152,3152,2666,694,29563482,15327248,390187,0,13846047,51.84520551,1.319827617,0,46.83496687,0.5525,520929,5.145191716
71,2017,서초구,4708,3237,9,10,13,7,470,283,1812,835,2404,2102,247,46899887,18887265,1320064,0,26692558,40.27145097,2.814642176,0,56.91390685,0.4708,445401,4.399205142
72,2017,강남구,7720,5321,7,7,20,24,607,496,3130,1383,3956,3411,577,39497268,24188974,1677285,0,13631009,61.24214465,4.246584852,0,34.5112705,0.772,561052,5.541484737
73,2017,송파구,5576,3870,6,6,1,3,288,242,2274,1026,3007,2593,116,33858375,21017099,2283335,0,10557941,62.07356083,6.743782004,0,31.18265717,0.5576,671173,6.629144777
74,2017,강동구,4261,3245,5,6,10,12,172,169,1645,949,2429,2109,273,24556203,12972507,673622,0,10910074,52.82782114,2.743184685,0,44.42899417,0.4261,440359,4.349405541
75,2018,종로구,3690,3913,6,7,3,7,236,1100,1483,969,1962,1830,101,23972507,9830557,2937285,0,11204665,41.00763012,12.25272351,0,46.73964638,0.369,163026,1.62221269
76,2018,중구,4030,2679,2,2,11,11,207,115,1855,832,1955,1719,328,9974292,6037439,3911718,0,25135,60.53000053,39.21800164,0,0.251997836,0.403,135633,1.349634866
77,2018,용산구,3411,2543,1,1,3,2,331,285,1096,522,1980,1733,73,21898766,12107810,1260795,0,8530162,55.28991908,5.757379206,0,38.95270628,0.3411,245090,2.438801836
78,2018,성동구,2457,1787,2,2,5,8,126,102,999,487,1325,1188,294,16804426,9947641,473145,2051234,4332406,59.19655334,2.81559751,12.20651036,25.7813388,0.2457,316463,3.149008712
79,2018,광진구,3915,2789,7,5,2,1,229,184,1769,974,1908,1625,346,17075115,11598584,201658,0,5274873,67.92682802,1.181005223,0,30.89216676,0.3915,371063,3.69231354
80,2018,동대문구,3680,2968,2,2,5,4,145,112,1447,930,2081,1920,197,14245433,13034193,828159,0,383081,91.49734515,5.813505283,0,2.689149568,0.368,364338,3.625395501
81,2018,중랑구,4288,3222,4,5,3,3,174,145,1526,876,2581,2193,9,18531520,10821891,357442,0,7352187,58.39721189,1.928832605,0,39.67395551,0.4288,408147,4.061322995
82,2018,성북구,3042,2277,7,6,1,2,183,140,1164,635,1687,1494,643,24621422,17791331,397229,0,6432862,72.25955918,1.613347109,0,26.12709372,0.3042,447687,4.454771216
83,2018,강북구,3437,2743,8,6,7,7,188,135,1112,603,2122,1992,319,23636019,10985275,270342,0,12380402,46.47684113,1.143771292,0,52.37938758,0.3437,322915,3.213210228
84,2018,도봉구,2249,1676,1,1,5,3,113,117,781,431,1349,1124,71,20679052,8089653,258659,1489295,10841445,39.120038,1.250826198,7.20195007,52.42718573,0.2249,341649,3.399625478
85,2018,노원구,4007,2725,5,4,5,5,194,173,1422,585,2381,1958,156,35595942,13980338,589023,0,21026581,39.27508928,1.654747611,0,59.07016311,0.4007,548160,5.454541655
86,2018,은평구,3590,2863,8,8,1,1,188,169,1278,816,2115,1869,367,29788522,15376440,510002,0,13902080,51.6186738,1.712075544,0,46.66925066,0.359,487666,4.852587768
87,2018,서대문구,2802,2016,5,4,3,3,206,189,1062,585,1526,1235,194,17685973,15439372,283546,0,1963055,87.29727225,1.603225336,0,11.09950241,0.2802,323080,3.214852083
88,2018,마포구,5172,3569,6,6,6,7,473,396,2011,882,2676,2278,195,23890251,13391126,940188,0,9558937,56.05268023,3.935446304,0,40.01187346,0.5172,386359,3.844518497
89,2018,양천구,3515,2459,2,3,4,14,120,111,1384,646,2005,1685,830,17469613,12536636,796830,92872,4043275,71.76252845,4.561234413,0.531620248,23.14461688,0.3515,468145,4.658341366
90,2018,강서구,4629,3469,11,9,6,3,269,246,1724,982,2619,2229,254,41462497,14719962,1321659,2919995,22500881,35.50187052,3.187601075,7.042496741,54.26803166,0.4629,603611,6.006314476
91,2018,구로구,4810,3338,8,8,9,9,250,181,1717,787,2826,2353,486,20136328,10188383,513589,4276794,5157562,50.59702544,2.550559367,21.23919515,25.61322005,0.481,438486,4.363215397
92,2018,금천구,3293,2567,6,6,7,6,200,185,1168,645,1912,1725,530,13012685,5845488,149622,4121945,2895630,44.92145933,1.149816506,31.67636041,22.25236375,0.3293,254021,2.527670983
93,2018,영등포구,5840,3922,17,15,8,6,391,267,2292,1064,3132,2570,793,24354829,8013840,2607260,5024926,8708804,32.90452173,10.70531023,20.63215472,35.75801743,0.584,403600,4.016077445
94,2018,동작구,3100,2090,3,3,7,7,288,154,1151,532,1651,1394,255,16387882,13790984,344623,0,2252275,84.15354711,2.102913604,0,13.74353928,0.31,409385,4.073641885
95,2018,관악구,5026,3653,9,9,10,12,352,305,2012,1025,2643,2302,671,29563482,15327248,390187,0,13846047,51.84520551,1.319827617,0,46.83496687,0.5026,520040,5.174729718
96,2018,서초구,4726,3183,5,5,5,5,470,315,1851,838,2395,2020,396,46899887,18887265,1320064,0,26692558,40.27145097,2.814642176,0,56.91390685,0.4726,438163,4.360001341
97,2018,강남구,7513,5196,10,13,14,10,600,523,3004,1317,3885,3333,448,39497268,24298708,1875445,0,13323115,61.51997146,4.748290439,0,33.7317381,0.7513,547453,5.447506554
98,2018,송파구,5807,4051,5,6,6,8,309,254,2352,1034,3135,2749,396,33858375,21017099,2283335,0,10557941,62.07356083,6.743782004,0,31.18265717,0.5807,673507,6.70182426
99,2018,강동구,3919,2789,3,3,7,7,170,143,1515,765,2224,1871,385,24556203,12966784,679345,0,10910074,52.80451542,2.766490406,0,44.42899417,0.3919,431920,4.297879509
