ESRI_PK,state_kor,state_en,state_x,state_y
0,도봉구,Dobong-gu,37.6668609,127.0367674
1,은평구,Eunpyeong-gu,37.6176125,126.9267004
2,동대문구,Dongdaemun-gu,37.5838012,127.0477003
3,동작구,Dongjak-gu,37.5075037,126.9523073
4,금천구,Geumcheon-gu,37.4620969,126.9041546
5,구로구,Guro-gu,37.5004856,126.858121
6,종로구,Jongno-gu,37.5990998,126.9731493
7,강북구,Gangbuk-gu,37.6469954,127.0017158
8,중랑구,Jungnang-gu,37.6003795,127.0939669
9,강남구,Gangnam-gu,37.4959854,127.0664091
10,강서구,Gangseo-gu,37.5657617,126.8226561
11,중구,Jung-gu,37.5630452,126.9941904
12,강동구,Gangdong-gu,37.5522077,127.1414824
13,광진구,Gwangjin-gu,37.5481445,127.0857528
14,마포구,Mapo-gu,37.5622906,126.9087803
16,서초구,Seocho-gu,37.4769528,127.0208103
17,성북구,Seongbuk-gu,37.606991,127.0232185
18,노원구,Nowon-gu,37.655264,127.0771201
19,송파구,Songpa-gu,37.5078534,127.1144822
21,서대문구,Seodaemun-gu,37.5820369,126.9266665
22,양천구,Yangcheon-gu,37.5260616,126.8560534
23,영등포구,Yeongdeungpo-gu,37.526641,126.9039242
15,관악구,Gwanak-gu,37.4703993,126.9438071
20,성동구,Seongdong-gu,37.5536753,127.0409622
24,용산구,Yongsan-gu,37.5361008,126.9810742
